Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
retatrutide,Retatrutide,"<p>Retatrutide is a next-generation investigational peptide and triple agonist of the GIP, GLP-1 and glucagon receptors. It is used as a reference material in multi-receptor metabolic-signaling research, including studies on metabolism, energy balance and fat regulation.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-601</li><li><strong>Vial code:</strong> RT10</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, RT10, Peptide",FALSE,Size,5 mg,BTLS-601-5mg,,0,continue,manual,5499,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/retatrutide.webp,1,Retatrutide research vial (RT10) — Biotech Life Sciences,FALSE,Retatrutide — Research Compound | Biotech Life Sciences,"Retatrutide (RT10), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
retatrutide,,,,,,,,10 mg,BTLS-601-10mg,,0,continue,manual,8999,TRUE,TRUE,,,,,,,
retatrutide,,,,,,,,20 mg,BTLS-601-20mg,,0,continue,manual,14999,TRUE,TRUE,,,,,,,
tirzepatide,Tirzepatide,"<p>Tirzepatide is a 39-amino-acid dual agonist of the GIP and GLP-1 receptors developed for advanced research applications. It supports investigations into metabolic regulation, glucose homeostasis and body composition in laboratory models.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-602</li><li><strong>Vial code:</strong> TR10</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, TR10, Peptide",FALSE,Size,5 mg,BTLS-602-5mg,,0,continue,manual,4499,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/tirzepatide.webp,1,Tirzepatide research vial (TR10) — Biotech Life Sciences,FALSE,Tirzepatide — Research Compound | Biotech Life Sciences,"Tirzepatide (TR10), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
tirzepatide,,,,,,,,10 mg,BTLS-602-10mg,,0,continue,manual,7499,TRUE,TRUE,,,,,,,
tirzepatide,,,,,,,,20 mg,BTLS-602-20mg,,0,continue,manual,12499,TRUE,TRUE,,,,,,,
bpc-157-tb-500,BPC-157 + TB-500,"<p>A research combination of two well-studied peptides — BPC-157 and TB-500 — widely used in laboratory research to explore healing processes, cellular regeneration and angiogenesis in preclinical models.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-101</li><li><strong>Vial code:</strong> BPCTB10</li><li><strong>Compound type:</strong> Peptide Blend</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide Blend,"research-use-only, BPCTB10, Peptide Blend",FALSE,Size,5 mg,BTLS-101-5mg,,0,continue,manual,3499,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/bpc-157-tb-500.webp,1,BPC-157 + TB-500 research vial (BPCTB10) — Biotech Life Sciences,FALSE,BPC-157 + TB-500 — Research Compound | Biotech Life Sciences,"BPC-157 + TB-500 (BPCTB10), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
bpc-157-tb-500,,,,,,,,10 mg,BTLS-101-10mg,,0,continue,manual,5999,TRUE,TRUE,,,,,,,
bpc-157-tb-500,,,,,,,,20 mg,BTLS-101-20mg,,0,continue,manual,9999,TRUE,TRUE,,,,,,,
ghk-cu,GHK-Cu,"<p>GHK-Cu is a naturally occurring copper-binding tripeptide (glycyl-L-histidyl-L-lysine) studied for its regenerative properties in dermal-science literature — including collagen synthesis, skin remodeling, hair-follicle biology and tissue-repair research.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-201</li><li><strong>Vial code:</strong> CU50</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, CU50, Peptide",FALSE,Size,25 mg,BTLS-201-25mg,,0,continue,manual,2499,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/ghk-cu.webp,1,GHK-Cu research vial (CU50) — Biotech Life Sciences,FALSE,GHK-Cu — Research Compound | Biotech Life Sciences,"GHK-Cu (CU50), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
ghk-cu,,,,,,,,50 mg,BTLS-201-50mg,,0,continue,manual,3999,TRUE,TRUE,,,,,,,
ghk-cu,,,,,,,,100 mg,BTLS-201-100mg,,0,continue,manual,6499,TRUE,TRUE,,,,,,,
hgh,HGH,"<p>Human Growth Hormone is a naturally occurring 191-amino-acid protein central to growth, cell regeneration and metabolic function. It is widely used in laboratory research to study growth processes, protein synthesis, fat metabolism and tissue repair.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-301</li><li><strong>Vial code:</strong> HGH10</li><li><strong>Compound type:</strong> Protein</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Protein,"research-use-only, HGH10, Protein",FALSE,Size,5 IU,BTLS-301-5IU,,0,continue,manual,2999,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/hgh.webp,1,HGH research vial (HGH10) — Biotech Life Sciences,FALSE,HGH — Research Compound | Biotech Life Sciences,"HGH (HGH10), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
hgh,,,,,,,,10 IU,BTLS-301-10IU,,0,continue,manual,4999,TRUE,TRUE,,,,,,,
hgh,,,,,,,,20 IU,BTLS-301-20IU,,0,continue,manual,8999,TRUE,TRUE,,,,,,,
cjc-1295-no-dac,CJC-1295 No DAC,"<p>CJC-1295 No DAC is a synthetic Growth Hormone Releasing Hormone (GHRH) analogue widely utilized in laboratory research to investigate pulsatile growth hormone release, endocrine signaling and metabolic function. Its short-acting profile makes it a valuable tool for controlled scientific studies.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-302</li><li><strong>Vial code:</strong> CND5</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, CND5, Peptide",FALSE,Size,5 mg,BTLS-302-5mg,,0,continue,manual,2499,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/cjc-1295-no-dac.webp,1,CJC-1295 No DAC research vial (CND5) — Biotech Life Sciences,FALSE,CJC-1295 No DAC — Research Compound | Biotech Life Sciences,"CJC-1295 No DAC (CND5), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
cjc-1295-no-dac,,,,,,,,10 mg,BTLS-302-10mg,,0,continue,manual,4299,TRUE,TRUE,,,,,,,
cjc-1295-dac,CJC-1295 With DAC,"<p>CJC-1295 With DAC is a long-acting GHRH analogue carrying a Drug Affinity Complex that extends its half-life, allowing prolonged stimulation of growth-hormone release in scientific research. It is widely used in laboratory studies focused on growth, recovery and body composition.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-303</li><li><strong>Vial code:</strong> CD5</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, CD5, Peptide",FALSE,Size,5 mg,BTLS-303-5mg,,0,continue,manual,2799,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/cjc-1295-with-dac.webp,1,CJC-1295 With DAC research vial (CD5) — Biotech Life Sciences,FALSE,CJC-1295 With DAC — Research Compound | Biotech Life Sciences,"CJC-1295 With DAC (CD5), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
cjc-1295-dac,,,,,,,,10 mg,BTLS-303-10mg,,0,continue,manual,4799,TRUE,TRUE,,,,,,,
ipamorelin,Ipamorelin,"<p>Ipamorelin is a selective growth hormone secretagogue that stimulates GH release by mimicking ghrelin at the GHS-R1a receptor. It is widely used in laboratory research on growth-hormone release and is noted in the literature for its selectivity and minimal impact on cortisol and prolactin.</p><p><strong>Research use only.</strong> For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.</p><ul><li><strong>Catalogue number:</strong> BTLS-304</li><li><strong>Vial code:</strong> IP5</li><li><strong>Compound type:</strong> Peptide</li><li><strong>Purity specification:</strong> ≥ 98% (RP-HPLC)</li><li><strong>Form:</strong> Lyophilized powder</li><li><strong>Storage:</strong> Store at −20 °C, protect from light</li></ul>",Biotech Life Sciences,Peptide,"research-use-only, IP5, Peptide",FALSE,Size,5 mg,BTLS-304-5mg,,0,continue,manual,2299,TRUE,TRUE,https://biotech-life-sciences.vercel.app/images/products/ipamorelin.webp,1,Ipamorelin research vial (IP5) — Biotech Life Sciences,FALSE,Ipamorelin — Research Compound | Biotech Life Sciences,"Ipamorelin (IP5), ≥ 98% (RP-HPLC). For laboratory research use only. Not for human or veterinary consumption, diagnosis, treatment, or prevention of disease.",draft
ipamorelin,,,,,,,,10 mg,BTLS-304-10mg,,0,continue,manual,3999,TRUE,TRUE,,,,,,,
